station_name,business_name,rating,address,distance,category
Porte de Pantin.,Bustronome,4.5,"2 avenue Kléber, 75116 Paris, France",7607.814933692776,French
Passy - Place du Costa Rica,La Coïncidence,4.5,"15 rue Mesnil, 75116 Paris, France",1069.6151618612546,French
Passy - Place du Costa Rica,Crêperie Framboise Passy-Trocadéro,4.3,"10 bd Delessert, 75016 Paris, France",89.48973466893203,Creperies
Passy - Place du Costa Rica,La Petite Tour,4.4,"11 rue de la Tour, 75016 Paris, France",92.13288737804474,French
Passy - Place du Costa Rica,La Fontaine de Mars,4.4,"129 rue Saint-Dominique, 75007 Paris, France",1360.9530702518625,French
Passy - Place du Costa Rica,Langousta,4.9,"20 rue Singer, 75016 Paris, France",492.1308351985519,Seafood
Miromesnil - La Boétie,L'Epicure,4.6,"112 rue du Faubourg Saint-Honoré, 75008 Paris, France",241.4759098505889,French
Miromesnil - La Boétie,Le Soufflé,4.3,"36 rue du Mont Thabor, 75001 Paris, France",1118.2628695805881,French
Miromesnil - La Boétie,Pomze,4.3,"109 bd Haussmann, 75008 Paris, France",171.58534392717607,French
Miromesnil - La Boétie,A la Châtaigne,4.5,"22 rue de Miromesnil, 75008 Paris, France",95.35036205597157,Corsican
Miromesnil - La Boétie,Le 114 Faubourg,4.6,"114 faubourg Saint-Honoré, 75008 Paris, France",237.7797416161374,French
Place Etienne Pernet,Le Volant Basque,4.6,"13 rue Béatrix Dussane, 75015 Paris, France",834.5150651200006,Basque
Place Etienne Pernet,Neige d'Eté,4.9,"12 rue de l'Amiral Roussin, 75015 Paris, France",586.4906842224325,French
Place Etienne Pernet,Restaurant de la Tour,4.8,"6 Rue Desaix, 75015 Paris, France",1345.844233736064,French
Place Etienne Pernet,La Table Libanaise,4.2,"25 rue Oscar Roty, 75015 Paris, France",282.51390418491326,Lebanese
Place Etienne Pernet,Chez Papa,3.3,"101 rue de la Croix-Nivert, 75015 Paris, France",211.80830418393626,French Southwest
Bons Raisins - Voltaire,Michiko,4.5,"20 Place des Maitres vignerons, 92500 Rueil-Malmaison, France",188.61249446074055,Japanese
Bons Raisins - Voltaire,Le Fruit Défendu,4.0,"80 boulevard Belle Rive, 92500 Rueil Malmaison, France",1253.3677838871408,French
Bons Raisins - Voltaire,Les Écuries de Richelieu,4.2,"21 rue du Docteur Zamenhof, 92501 Rueil-Malmaison, France",1089.7223164111101,French
Bons Raisins - Voltaire,La Terrasse,3.9,"28 rue de la Libération, 92500 Rueil Malmaison, France",913.7685708637895,French
Bons Raisins - Voltaire,Rueil Impérial,3.9,"12 rue Corneille, 92500 Rueil-Malmaison, France",312.7121155532764,Chinese
