name,latitude,longitude,free_bikes
Argenson - Château,48.888559314669514,2.2642001509666447,21
Saint Lambert - Blomet,48.83659148147257,2.2930556908249855,2
Saint-Maur - République,48.864185861455,2.3783174157143,2
Mairie de Rosny-sous-Bois,48.871256519012,2.4865807592869,19
Mouton Duvernet - Général Leclerc,48.831632518293,2.3293121159077,1
Pernety - Raymond Losserand,48.834254627953,2.317609339387,3
Champs de Manoeuvre - Cartoucherie,48.835261,2.447974,20
Belleville - Télégraphe,48.8756045,2.3995549,0
Abbeville - Faubourg Poissonnière,48.879223,2.349147,4
Porte de Pantin.,48.889199725577,2.3950181901455,3
Passy - Place du Costa Rica,48.8584893,2.2839655,9
Miromesnil - La Boétie,48.873722412917,2.3158480972052,35
Place Etienne Pernet,48.84243457133779,2.2921819612383847,19
Bons Raisins - Voltaire,48.87282451461399,2.1947155570850896,3
Saint-Augustin,48.8762009747008,2.319786250591278,44
Lecourbe - Jean Maridor,48.83796366147599,2.2877392172813416,10
Colonel Monteil - Brune,48.82650293311,2.3092747998272,2
République - Auguste Perret,48.78695280952244,2.3518594354391094,1
Marcel Pourtout - Édouard Manet ,48.87555620763429,2.1655967831611638,13
Port Royal - Hôpital Cochin,48.838608030238,2.3406994164846,9
Adolphe Pinard - Victor Hugo,48.8236825874564,2.3077843710780144,0
Claude Decaen - Cannebière,48.83761417037952,2.397253782195704,1
Pierre et Marie Curie - Maurice Thorez,48.81580226360801,2.376804985105991,12
Mornay - Sully,48.84970399548416,2.364460788667202,5
Suzanne Masson,48.923306888013,2.3847292397611,19
Legendre - Clichy,48.88896161855884,2.322528975094376,2
Place Charles de Gaulle,48.826073335699,2.1894485725692,0
Roquette - Auguste Laurent,48.858001906023354,2.381797702650783,6
Bridaine - Lamandé,48.8862074,2.3206239,4
Ney - Porte de Montmartre,48.897918,2.3364872,1
Place du Canada,48.865346269363,2.3101937879648,55
Francoeur - Marcadet,48.89104123261663,2.340014585442034,0
Georges V - François 1er,48.87034,2.30082,22
Gare de Pont-Cardinet,48.88713901475306,2.314494143994255,1
Square Pierre Lazareff,48.867141720746,2.3483933508396,13
Marceau - Chaillot,48.868834023334,2.2986030816809,15
Vaugirard - Monsieur le Prince,48.848951441614,2.3411329463124,19
Edouard Vaillant - Galliéni,48.858462881661,2.4147954583168,4
Gare Rosny-Bois-Perrier,48.88115023337061,2.480436824262142,20
Condorcet - Turgot,48.87985155789093,2.345232367515564,3
Cordelières - Arago,48.83548071896613,2.348572461702221,16
Le Brix et Mesmin - Jourdan,48.82234096593411,2.327861653302471,2
Mairie du 2ème,48.8672190355135,2.3404625437747044,26
Philippe-Auguste,48.851853488265,2.3932945355773,14
Charles Delescluze,48.85242200848887,2.380632497370243,17
Place de la Montagne du Goulet,48.8443415,2.2773844,20
Place de la Madeleine - Royale,48.869228052648,2.324421107769,40
Geoffroy-Saint-Hilaire - Saint-Marcel,48.83907826424974,2.356877340669728,4
Le Corbusier - Jean Jaurès,48.83780830557548,2.2408381104469304,45
Lorraine - Jean Jaurès,48.8863865,2.3825772,1
Mairie,48.87914304162,2.4163350908311,1
Raspail - Bac,48.855628721101,2.3256602883339,50
Raymond Poincaré - Allée de la Marche,48.838634069623,2.1724102640451,8
Place Tristan Bernard,48.8794936,2.2915423,4
Cité Vaneau,48.8542210666207,2.319614924490452,18
Edgar Quinet - Gaité,48.841160928966,2.324595451355,1
Romainville - Vaillant-Couturier,48.86785,2.446748,2
Surcouf - Université,48.861273016278,2.3094535509142,28
Vaugirard - Pasteur,48.84040868803496,2.3154367133975033,2
Jean Calvin - Tournefort,48.84158856925782,2.348489575088024,26
Mozart - Jasmin,48.85286124871689,2.268483570651513,2
Hippodrome de Longchamp,48.86413226532,2.239905372262,21
