station_name,latitude,longitude,free_bikes,venue_name,venue_rating,venue_address,venue_distance,venue_category,latitude_x,longitude_x,latitude_y,longitude_y
Belleville - Télégraphe,48.8756045,2.3995549,0,Chéri-Chérie,4.4,"203 avenue Gambetta, 75020 Paris, France",474.8448975186174,French,,,,
Belleville - Télégraphe,48.8756045,2.3995549,0,Bustronome,4.5,"2 avenue Kléber, 75116 Paris, France",7724.20403221909,French,,,,
Belleville - Télégraphe,48.8756045,2.3995549,0,La Fine Mousse,4.3,"6 avenue Jean Aicard, 75011 Paris, France",1762.5349612813418,Beer Bar,,,,
Belleville - Télégraphe,48.8756045,2.3995549,0,La Maroquinerie,4.3,"23 Rue Boyer, 75020 Paris, France",974.3052940930024,Bars,,,,
Abbeville - Faubourg Poissonnière,48.879223,2.349147,4,Brasserie Bellanger,4.8,"140 rue du Faubourg Poissonnière, 75010 Paris, France",201.1343827694785,French,,,,
Abbeville - Faubourg Poissonnière,48.879223,2.349147,4,La Maison Bleue,4.4,"7 place Franz Liszt, 75010 Paris, France",168.50919205285476,Bistros,,,,
Abbeville - Faubourg Poissonnière,48.879223,2.349147,4,Terminus Nord,3.7,"23 rue de Dunkerque, 75010 Paris, France",245.04275941493887,French,,,,
Abbeville - Faubourg Poissonnière,48.879223,2.349147,4,Pedzouille,4.7,"66 rue du Faubourg Poissonnière, 75010 Paris, France",346.5610050472424,Bistros,,,,
Abbeville - Faubourg Poissonnière,48.879223,2.349147,4,ASPIC,5.0,"24 rue de la Tour d'Auvergne, 75009 Paris, France",396.5609632665944,French,,,,
Porte de Pantin.,48.889199725577,2.3950181901455,3,Au Boeuf Couronné,4.1,"188 avenue Jean Jaurès, 75019 Paris, France",285.85865784117215,French,,,,
Porte de Pantin.,48.889199725577,2.3950181901455,3,Paname Brewing Company,4.1,"41 bis quai de la Loire, 75019 Paris, France",1196.6988844084558,Breweries,,,,
Porte de Pantin.,48.889199725577,2.3950181901455,3,Philharmonie de Paris,4.2,"221 avenue Jean Jaurès, 75019 Paris, France",89.34383291827743,Music Venues,,,,
Porte de Pantin.,48.889199725577,2.3950181901455,3,Le Pavillon des Canaux,4.3,"39 quai de la Loire, 75019 Paris, France",1210.3531605129108,Bars,,,,
Porte de Pantin.,48.889199725577,2.3950181901455,3,Bustronome,4.5,"2 avenue Kléber, 75116 Paris, France",7607.814933692776,French,,,,
Passy - Place du Costa Rica,48.8584893,2.2839655,9,La Coïncidence,4.5,"15 rue Mesnil, 75116 Paris, France",1069.6151618612546,French,,,,
Passy - Place du Costa Rica,48.8584893,2.2839655,9,Crêperie Framboise Passy-Trocadéro,4.3,"10 bd Delessert, 75016 Paris, France",89.48973466893203,Creperies,,,,
Passy - Place du Costa Rica,48.8584893,2.2839655,9,La Petite Tour,4.4,"11 rue de la Tour, 75016 Paris, France",92.13288737804474,French,,,,
Passy - Place du Costa Rica,48.8584893,2.2839655,9,La Fontaine de Mars,4.4,"129 rue Saint-Dominique, 75007 Paris, France",1360.9530702518623,French,,,,
Passy - Place du Costa Rica,48.8584893,2.2839655,9,Langousta,4.9,"20 rue Singer, 75016 Paris, France",492.1308351985519,Seafood,,,,
Miromesnil - La Boétie,48.873722412917,2.3158480972052,35,L'Epicure,4.6,"112 rue du Faubourg Saint-Honoré, 75008 Paris, France",241.4759098505889,French,,,,
Miromesnil - La Boétie,48.873722412917,2.3158480972052,35,Le Soufflé,4.3,"36 rue du Mont Thabor, 75001 Paris, France",1118.262869580588,French,,,,
Miromesnil - La Boétie,48.873722412917,2.3158480972052,35,Pomze,4.3,"109 bd Haussmann, 75008 Paris, France",171.58534392717607,French,,,,
Miromesnil - La Boétie,48.873722412917,2.3158480972052,35,A la Châtaigne,4.5,"22 rue de Miromesnil, 75008 Paris, France",95.35036205597156,Corsican,,,,
Miromesnil - La Boétie,48.873722412917,2.3158480972052,35,Le 114 Faubourg,4.6,"114 faubourg Saint-Honoré, 75008 Paris, France",237.7797416161374,French,,,,
Place Etienne Pernet,48.84243457133779,2.2921819612383847,19,Le Volant Basque,4.6,"13 rue Béatrix Dussane, 75015 Paris, France",834.5150651200006,Basque,,,,
Place Etienne Pernet,48.84243457133779,2.2921819612383847,19,Neige d'Eté,4.9,"12 rue de l'Amiral Roussin, 75015 Paris, France",586.4906842224325,French,,,,
Place Etienne Pernet,48.84243457133779,2.2921819612383847,19,Restaurant de la Tour,4.8,"6 Rue Desaix, 75015 Paris, France",1345.844233736064,French,,,,
Place Etienne Pernet,48.84243457133779,2.2921819612383847,19,La Table Libanaise,4.2,"25 rue Oscar Roty, 75015 Paris, France",282.51390418491326,Lebanese,,,,
Place Etienne Pernet,48.84243457133779,2.2921819612383847,19,Chez Papa,3.3,"101 rue de la Croix-Nivert, 75015 Paris, France",211.80830418393623,French Southwest,,,,
Bons Raisins - Voltaire,48.87282451461399,2.1947155570850896,3,Michiko,4.5,"20 Place des Maitres vignerons, 92500 Rueil-Malmaison, France",188.61249446074052,Japanese,,,,
Bons Raisins - Voltaire,48.87282451461399,2.1947155570850896,3,Le Fruit Défendu,4.0,"80 boulevard Belle Rive, 92500 Rueil Malmaison, France",1253.3677838871408,French,,,,
Bons Raisins - Voltaire,48.87282451461399,2.1947155570850896,3,Les Écuries de Richelieu,4.2,"21 rue du Docteur Zamenhof, 92501 Rueil-Malmaison, France",1089.72231641111,French,,,,
Bons Raisins - Voltaire,48.87282451461399,2.1947155570850896,3,La Terrasse,3.9,"28 rue de la Libération, 92500 Rueil Malmaison, France",913.7685708637896,French,,,,
Bons Raisins - Voltaire,48.87282451461399,2.1947155570850896,3,Rueil Impérial,3.9,"12 rue Corneille, 92500 Rueil-Malmaison, France",312.7121155532764,Chinese,,,,
Saint-Augustin,48.8762009747008,2.319786250591278,44,L'Epicure,4.6,"112 rue du Faubourg Saint-Honoré, 75008 Paris, France",625.7310215984568,French,,,,
Saint-Augustin,48.8762009747008,2.319786250591278,44,Le Soufflé,4.3,"36 rue du Mont Thabor, 75001 Paris, France",1181.2287591814595,French,,,,
Saint-Augustin,48.8762009747008,2.319786250591278,44,Pomze,4.3,"109 bd Haussmann, 75008 Paris, France",284.1422206669103,French,,,,
Saint-Augustin,48.8762009747008,2.319786250591278,44,Pink Mamma,4.0,"20 bis rue de Douai, 75009 Paris, France",1250.5559700240308,Steakhouses,,,,
Saint-Augustin,48.8762009747008,2.319786250591278,44,Al Caratello,4.7,"5 rue Audran, 75018 Paris, France",1548.426819536311,Italian,,,,
Lecourbe - Jean Maridor,48.83796366147599,2.2877392172813416,10,Le Volant Basque,4.6,"13 rue Béatrix Dussane, 75015 Paris, France",1354.6610582843723,Basque,,,,
Lecourbe - Jean Maridor,48.83796366147599,2.2877392172813416,10,Neige d'Eté,4.9,"12 rue de l'Amiral Roussin, 75015 Paris, France",1155.8615904790977,French,,,,
Lecourbe - Jean Maridor,48.83796366147599,2.2877392172813416,10,Sagarmatha,4.1,"2 Rue François Mouthon, 75015 Paris, France",299.8180997947253,Indian,,,,
Lecourbe - Jean Maridor,48.83796366147599,2.2877392172813416,10,Axuria,4.1,"54 ave Félix Faure, 75015 Paris, France",317.4026950367465,French,,,,
Lecourbe - Jean Maridor,48.83796366147599,2.2877392172813416,10,Afaria,3.9,"15 rue Desnouettes, 75015 Paris, France",359.9472459880853,French,,,,
Colonel Monteil - Brune,48.82650293311,2.3092747998272,2,Bistrotters,4.6,"9 rue Decrès, 75014 Paris, France",838.3137480116868,French,,,,
Colonel Monteil - Brune,48.82650293311,2.3092747998272,2,Le Jeroboam,4.7,"72 rue Didot, 75014 Paris, France",626.4413688657655,French,,,,
Colonel Monteil - Brune,48.82650293311,2.3092747998272,2,Chez Félicie,3.9,"174 avenue du Maine, 75014 Paris, France",1304.833065156172,French,,,,
Colonel Monteil - Brune,48.82650293311,2.3092747998272,2,Bustronome,4.5,"2 avenue Kléber, 75116 Paris, France",5263.156511910692,French,,,,
Colonel Monteil - Brune,48.82650293311,2.3092747998272,2,Les Artistes,3.8,"60 Rue Didot, 75014 Paris, France",718.977686847798,French,,,,
République - Auguste Perret,48.78695280952244,2.3518594354391094,1,Show Devant,4.2,"38 rue Georges Lebigot, 94800 Villejuif, France",1377.1688127565326,Wine Bars,,,,
République - Auguste Perret,48.78695280952244,2.3518594354391094,1,Maihak,4.3,"102 rue Jean Jaures, 94800 Villejuif, France",1144.9149114222998,Indian,,,,
République - Auguste Perret,48.78695280952244,2.3518594354391094,1,Le Médaillon,5.0,"85 Avenue République, 94800 Villejuif, France",383.1485303325663,French,,,,
République - Auguste Perret,48.78695280952244,2.3518594354391094,1,Augusta Pizza,5.0,"114 rue de Chevilly, 94800 Villejuif, France",690.9608563693645,Pizza,,,,
République - Auguste Perret,48.78695280952244,2.3518594354391094,1,Rêves de Pains,3.8,"39 rue Camille Desmoulins, 94230 Cachan, France",1504.2807338672303,Bakeries,,,,
Marcel Pourtout - Édouard Manet ,48.87555620763429,2.1655967831611638,13,Le Fruit Défendu,4.0,"80 boulevard Belle Rive, 92500 Rueil Malmaison, France",1008.0455960206256,French,,,,
Marcel Pourtout - Édouard Manet ,48.87555620763429,2.1655967831611638,13,Les Écuries de Richelieu,4.2,"21 rue du Docteur Zamenhof, 92501 Rueil-Malmaison, France",1311.2184904214755,French,,,,
Marcel Pourtout - Édouard Manet ,48.87555620763429,2.1655967831611638,13,La Terrasse,3.9,"28 rue de la Libération, 92500 Rueil Malmaison, France",1369.4000908926384,French,,,,
Marcel Pourtout - Édouard Manet ,48.87555620763429,2.1655967831611638,13,Le Patte Noire,4.8,"56 Rue Gué, 92500 Rueil Malmaison, France",1325.533714455772,French,,,,
Marcel Pourtout - Édouard Manet ,48.87555620763429,2.1655967831611638,13,Café Leffe,3.3,"2 passage d'Arcole, 92500 Rueil Malmaison, France",1102.6269877100835,Cafes,,,,
Port Royal - Hôpital Cochin,48.838608030238,2.3406994164846,9,L'Avant Comptoir,4.4,"3 carrefour de l'Odéon, 75006 Paris, France",1500.1085512077702,Tapas Bars,,,,
Port Royal - Hôpital Cochin,48.838608030238,2.3406994164846,9,La Closerie des Lilas,4.0,"171 bd Montparnasse, 75006 Paris, France",327.0524872284479,Brasseries,,,,
Port Royal - Hôpital Cochin,48.838608030238,2.3406994164846,9,Les Papilles,4.5,"30 rue Gay-Lussac, 75005 Paris, France",665.3742512306575,Wine Bars,,,,
Port Royal - Hôpital Cochin,48.838608030238,2.3406994164846,9,Le Bistrot des Campagnes,4.6,"6 rue Léopold Robert, 75014 Paris, France",782.3385361023307,Bistros,,,,
Port Royal - Hôpital Cochin,48.838608030238,2.3406994164846,9,Académie de la Bière,3.7,"88 bis bd Port Royal, 75005 Paris, France",136.21813254410202,Beer Bar,,,,
Adolphe Pinard - Victor Hugo,48.8236825874564,2.3077843710780144,0,Bistrotters,4.6,"9 rue Decrès, 75014 Paris, France",1166.2229490148388,French,,,,
Adolphe Pinard - Victor Hugo,48.8236825874564,2.3077843710780144,0,Le Timbre Poste,3.7,"1 rue Rouget de Lisle, 92240 Malakoff, France",258.5898569103933,French,,,,
Adolphe Pinard - Victor Hugo,48.8236825874564,2.3077843710780144,0,Le Jeroboam,4.7,"72 rue Didot, 75014 Paris, France",898.3897861178946,French,,,,
Adolphe Pinard - Victor Hugo,48.8236825874564,2.3077843710780144,0,Chez Félicie,3.9,"174 avenue du Maine, 75014 Paris, France",1572.8390918685027,French,,,,
Adolphe Pinard - Victor Hugo,48.8236825874564,2.3077843710780144,0,Bustronome,4.5,"2 avenue Kléber, 75116 Paris, France",5549.223850235871,French,,,,
Claude Decaen - Cannebière,48.83761417037952,2.397253782195704,1,Les Zygomates,4.3,"7 rue de Capri, 75012 Paris, France",209.32269668342985,French,,,,
Claude Decaen - Cannebière,48.83761417037952,2.397253782195704,1,East Mamma,4.2,"133 rue du Faubourg Saint-Antoine, 75011 Paris, France",2065.4410345760457,Pizza,,,,
