station_name,venue_name,venue_address,venue_distance,venue_latitude,venue_longitude
Aristide Briand - Place de la Résistance,La Brioche Dorée,3 allée Sainte Lucie,99,N/A,N/A
Aristide Briand - Place de la Résistance,Chemin des Vignes,113 Bis avenue de Verdun,369,N/A,N/A
Aristide Briand - Place de la Résistance,Issy Guinguette,"113 bis, avenue de Verdun",405,N/A,N/A
Erasme - Ulm,Les Papilles,"30 rue Gay Lussac, 5e",295,N/A,N/A
Erasme - Ulm,Au P'tit Grec,68 rue Mouffetard,375,N/A,N/A
Erasme - Ulm,Dealer de Café,73 rue Mouffetard,385,N/A,N/A
Erasme - Ulm,Au Vieux Cèdre,2 rue Blainville,384,N/A,N/A
Erasme - Ulm,Sébastien Dégardin,200 rue Saint-Jacques,382,N/A,N/A
Stéphanie Bouvard - Gambetta,Société EDITRICE du MONDE Ivry-sur-Seine,43 boulevard du Colonel Fabien,20,N/A,N/A
Stéphanie Bouvard - Gambetta,Franprix,27 boulevard de Brandebourg,178,N/A,N/A
Stéphanie Bouvard - Gambetta,European Homes,15 avenue Jean Jaurès,146,N/A,N/A
Stéphanie Bouvard - Gambetta,Cegla,20 boulevard du Colonel Fabien,370,N/A,N/A
Stéphanie Bouvard - Gambetta,La Poste,60 boulevard Paul Vaillant Couturier,480,N/A,N/A
Porte d'Italie,Le Plaza,8 bis avenue de Fontainebleau,183,N/A,N/A
Porte d'Italie,La Goulette (La Goulette Zmen),2 rue Roger Salengro,305,N/A,N/A
Porte d'Italie,Sésame et Sel,11 B rue Roger Salengro 94270,290,N/A,N/A
Porte d'Italie,Sidi Bou,16 rue du Général Leclerc,296,N/A,N/A
Porte d'Italie,New Hoa Khoan,15 avenue de Choisy,453,N/A,N/A
Paul Vaillant Couturier - Chaptal,Boulangerie Eric Kayser,5 place de la Libération,52,N/A,N/A
Paul Vaillant Couturier - Chaptal,La Ferme de Levallois,84 rue de Villiers,82,N/A,N/A
Paul Vaillant Couturier - Chaptal,Au Petit Sud Ouest,4 rue Baudin,180,N/A,N/A
Paul Vaillant Couturier - Chaptal,Palais des Sports Marcel Cerdan,141 rue Danton,290,N/A,N/A
Paul Vaillant Couturier - Chaptal,Big Fernand,22 bis rue Paul Vaillant Couturier,323,N/A,N/A
Centquatre,Le 104,104 rue d'Aubervilliers,122,N/A,N/A
Centquatre,Le Hang'art,63 quai de la Seine,453,N/A,N/A
Centquatre,Bassin de la Villette,64 quai de la Loire,488,N/A,N/A
Centquatre,Le Bastringue,67 quai de la Seine,479,N/A,N/A
Centquatre,Chamroueun-Crimée,4 rue Mathis,433,N/A,N/A
La Motte-Picquet - Grenelle,Les Frères Bretons,117 boulevard de Grenelle,77,N/A,N/A
La Motte-Picquet - Grenelle,Starbucks,66 avenue de la Motte-Picquet,134,N/A,N/A
La Motte-Picquet - Grenelle,Le Suffren,84 avenue de Suffren,298,N/A,N/A
La Motte-Picquet - Grenelle,Neige d'été,12 rue de l'Amiral Roussin,361,N/A,N/A
La Motte-Picquet - Grenelle,La Véraison,"64 rue de la Croix Nivert, 15e",427,N/A,N/A
Général Delambre - Prebuard,Castagna Anne,170 boulevard du Général Delambre,71,N/A,N/A
Général Delambre - Prebuard,La Poste,179 avenue Jean Jaurès,185,N/A,N/A
Général Delambre - Prebuard,Lycée Jean Jaurès,25 rue Charles Lecoq,204,N/A,N/A
Général Delambre - Prebuard,Pharmacie Belle Place,154 avenue Jean Jaurès,219,N/A,N/A
Général Delambre - Prebuard,Les Saveurs des Champioux,177 avenue Jean Jaurès,221,N/A,N/A
Hippodrome Paris-Vincennes,Restaurant Plateau de Gravelle,2 route du Pesage,160,N/A,N/A
Hippodrome Paris-Vincennes,Hippodrome de Vincennes,"2 route de la Ferme, 12e",370,N/A,N/A
Hippodrome Paris-Vincennes,Ferme Georges-Ville,Bois de Vincennes,233,N/A,N/A
Hippodrome Paris-Vincennes,Sushi de Marne,6 avenue Joffre,568,N/A,N/A
Hippodrome Paris-Vincennes,Le Prestige,2 route de la Ferme,433,N/A,N/A
Jean Moulin - Place Victor et Hélène Basch,La Fabrica,81 rue d'Alésia,118,N/A,N/A
Jean Moulin - Place Victor et Hélène Basch,Burger King,78-80 avenue du Général Leclerc,187,N/A,N/A
Jean Moulin - Place Victor et Hélène Basch,Patisserie Thevenin,119 avenue du Général Leclerc,383,N/A,N/A
Jean Moulin - Place Victor et Hélène Basch,Les Vendanges,40 rue Friant,416,N/A,N/A
Jean Moulin - Place Victor et Hélène Basch,Le Petit Baigneur,10 rue de la Sablière,472,N/A,N/A
Jacques Kellner - Saint-Ouen,Octopussy Bar,22 rue de la Jonquière,318,N/A,N/A
Jacques Kellner - Saint-Ouen,La Bricole,52 rue Leibniz,376,N/A,N/A
Jacques Kellner - Saint-Ouen,Aux Dés Calés,181 Passage Legendre,437,N/A,N/A
Jacques Kellner - Saint-Ouen,L'Avenue,85 rue de Vauvenargues,203,N/A,N/A
Jacques Kellner - Saint-Ouen,Franprix,25 boulevard Bessières,215,N/A,N/A
Stade Georges Carpentier,New Hoa Khoan,15 avenue de Choisy,256,N/A,N/A
Stade Georges Carpentier,Coupi Bar,48 avenue de la Porte d'Ivry,259,N/A,N/A
Stade Georges Carpentier,Impérial Choisy,32 avenue de Choisy,308,N/A,N/A
Stade Georges Carpentier,Paris Store,44 avenue d'Ivry,317,N/A,N/A
Stade Georges Carpentier,Chinatown Olympiades,44 avenue d'Ivry,323,N/A,N/A
Ouest - Château ,Ayako,67 rue de l'Ouest,69,N/A,N/A
Ouest - Château ,Hexagone Café,121 rue du Château,105,N/A,N/A
Ouest - Château ,Papy aux Fourneaux,70 rue de l'Ouest,114,N/A,N/A
Ouest - Château ,Place de Catalogne,13 place de Catalogne,145,N/A,N/A
Ouest - Château ,Les Rouquins,146 rue du Château,303,N/A,N/A
Abbé Groult - Convention,Champa Lao,60 Bis rue Dombasle,79,N/A,N/A
Abbé Groult - Convention,Médiathèque Marguerite Yourcenar,41 rue d' Alleray,154,N/A,N/A
Abbé Groult - Convention,Songsan,20 rue Marmontel,213,N/A,N/A
Abbé Groult - Convention,Librairie le Divan,203-226 rue de la Convention,272,N/A,N/A
Abbé Groult - Convention,Je The Me,4 rue d'Alleray,324,N/A,N/A
Roquépine - Malesherbes,Noir,120 boulevard Haussmann,242,N/A,N/A
Roquépine - Malesherbes,Bugsy's,"15 rue Montalivet, 8e",293,N/A,N/A
Roquépine - Malesherbes,La Maison du Whisky,20 rue d'Anjou,308,N/A,N/A
Roquépine - Malesherbes,Eric Kayser,Ccal le Pavillon,339,N/A,N/A
Roquépine - Malesherbes,La Maison de la Truffe,"19 place de la Madeleine, 8e",417,N/A,N/A
George Sand - Jean de La Fontaine,Il Farniente,44 rue des Perchamps,44,N/A,N/A
George Sand - Jean de La Fontaine,Le Polo,109 avenue Mozart,149,N/A,N/A
George Sand - Jean de La Fontaine,Bistrot 31,31 avenue Théophile Gautier avenue Perrichont,303,N/A,N/A
George Sand - Jean de La Fontaine,Fondation le Corbusier,"8-10 square du Docteur Blanche, Paris",318,N/A,N/A
George Sand - Jean de La Fontaine,Sushi Marché,20 rue Mirabeau,404,N/A,N/A
Ménilmontant - Oberkampf,Bouche,85 rue Jean-Pierre Timbaud,380,N/A,N/A
Ménilmontant - Oberkampf,The Hood,80 rue Jean Pierre Timbaud le Citizen Hotel,487,N/A,N/A
Ménilmontant - Oberkampf,Atelier des Lumières,38 rue Saint-Maur,541,N/A,N/A
Ménilmontant - Oberkampf,Parc de Belleville,47 rue des Couronnes,557,N/A,N/A
Ménilmontant - Oberkampf,Le Servan,32 rue Saint-Maur,630,N/A,N/A
Paul Valery - Victor Hugo,Lenôtre,48 avenue Victo rue Hugo,36,N/A,N/A
Paul Valery - Victor Hugo,Le Bar Kléber,19 avenue Kléber,322,N/A,N/A
Paul Valery - Victor Hugo,L'Oiseau Blanc,19 avenue Kléber,367,N/A,N/A
Paul Valery - Victor Hugo,EXKi Kléber,8 avenue Kléber,356,N/A,N/A
Paul Valery - Victor Hugo,Joe & The Juice,92 avenue Victor Hugo,436,N/A,N/A
Place du 8 Mai 1945,Csahr,81 rue des Bons Raisins,26,N/A,N/A
Place du 8 Mai 1945,L'Avant-Scène,6 place du Huit Mai 1945,29,N/A,N/A
Place du 8 Mai 1945,Parc du Mont-Valérien,promenade Jacques Baumel,525,N/A,N/A
Place du 8 Mai 1945,Square Robespierre,N/A,239,N/A,N/A
Place du 8 Mai 1945,Forêt Domaniale de la Malmaison,N/A,699,N/A,N/A
Dunkerque - Rocroy,Billili,136 rue du Faubourg Poissonnière,107,N/A,N/A
Dunkerque - Rocroy,Brasserie Bellanger,140 rue du Faubourg Poissonnière,108,N/A,N/A
Dunkerque - Rocroy,NENI Paris,12 boulevard de Denain,282,N/A,N/A
Dunkerque - Rocroy,Le Louxor,"170 boulevard de Magenta, 10e",332,N/A,N/A
Dunkerque - Rocroy,Carton Bio,6 boulevard de Denain,294,N/A,N/A
Stalingrad - Barbara,Auchan Supermarché Montrouge Molière,35 rue Molière,285,N/A,N/A
Stalingrad - Barbara,Parc Messier,Rue Fénelon,421,N/A,N/A
Stalingrad - Barbara,Art du Verger,96 avenue de la République,642,N/A,N/A
Stalingrad - Barbara,Maruyama,125 avenue de la République,377,N/A,N/A
Stalingrad - Barbara,L'Aquapol,91 avenue Henri Ginoux,728,N/A,N/A
Centenaire - Sorins,Bistrot 33,33 rue Désiré Préaux,341,N/A,N/A
Centenaire - Sorins,La Cave Establissements Restaurant,45 rue de Paris,511,N/A,N/A
Centenaire - Sorins,Alimentari,6 place du Marché,502,N/A,N/A
Centenaire - Sorins,Place du Marché,place du Marché,475,N/A,N/A
Centenaire - Sorins,Kyoto,169 rue de Paris,443,N/A,N/A
Commandant Rivière,Shabestan,5 rue du Commandant Rivière,53,N/A,N/A
Commandant Rivière,Mondaine de Pariso,23 rue de Ponthieu,255,N/A,N/A
Commandant Rivière,Musée Jacquemart André,158 boulevard Haussmann,283,N/A,N/A
Commandant Rivière,J.J,34 rue de Penthièvre,282,N/A,N/A
Commandant Rivière,Monoprix,107 rue la Boétie,296,N/A,N/A
Centre Georges Pompidou,Glace Bachir,58 rue Rambuteau,92,N/A,N/A
Centre Georges Pompidou,Le Ruisseau Burger Joint,22 rue Rambuteau,149,N/A,N/A
Centre Georges Pompidou,Stravinsky Fountain (Fontaine Stravinsky),place Igor Stravinsky,217,N/A,N/A
Centre Georges Pompidou,Terres de Café,14 rue Rambuteau,235,N/A,N/A
Centre Georges Pompidou,Laïzé,19 rue de Montmorency,250,N/A,N/A
Petit - Manin,Chez Arnaud,16 rue Eugène Jumin,131,N/A,N/A
Petit - Manin,Au Bœuf Couronné,188 avenue Jean Jaurès,265,N/A,N/A
Petit - Manin,Le Local Rock,206 avenue Jean Jaurès 75019,236,N/A,N/A
Petit - Manin,Cité de la Musique,221 avenue Jean Jaurès,378,N/A,N/A
Petit - Manin,Brasserie le Danube,3 place Rhin et Danube,471,N/A,N/A
Bas du Mont-Mesly,UGC Ciné Cité Créteil,avenue du Général de Gaulle,208,N/A,N/A
Bas du Mont-Mesly,Five Guys Créteil Soleil,Centre commercial Créteil Soleil,256,N/A,N/A
Bas du Mont-Mesly,Amorino,Créteil Soleil,365,N/A,N/A
Bas du Mont-Mesly,Fnac,avenue du Général de Gaulle,360,N/A,N/A
Bas du Mont-Mesly,Créteil Soleil,1-6627 Centre Commercial Régional Créteil-Soleil,333,N/A,N/A
Quai Jules Guesde - Saint-Simon,Monoprix,19 rue Marguerite Duras,200,N/A,N/A
Quai Jules Guesde - Saint-Simon,Gare au Theatre,13 rue Pierre Sémard,530,N/A,N/A
Quai Jules Guesde - Saint-Simon,Urmet France Captiv,128 Bis avenue Jean Jaurès,354,N/A,N/A
Quai Jules Guesde - Saint-Simon,Centre Aquatique d'Alfortville,50 quai Blanqui,559,N/A,N/A
Quai Jules Guesde - Saint-Simon,Kitcho kyoto,24 avenue Anatole France,409,N/A,N/A
Bessières - Porte de Clichy,Burger King,187 avenue de Clichy,391,N/A,N/A
Bessières - Porte de Clichy,Le 975,25 rue Guy Môquet,556,N/A,N/A
Bessières - Porte de Clichy,Le Refuge des Moines,85 rue des Moines,566,N/A,N/A
Bessières - Porte de Clichy,Churrasqueira Do Povo,7 rue Curton,554,N/A,N/A
Bessières - Porte de Clichy,Octopussy Bar,22 rue de la Jonquière,603,N/A,N/A
Place de la Porte de Châtillon,La Régalade,49 avenue Jean Moulin,146,N/A,N/A
Place de la Porte de Châtillon,Porte de Châtillon,Avenue de la Porte de Châtillon,5,N/A,N/A
Place de la Porte de Châtillon,Les Vendanges,40 rue Friant,342,N/A,N/A
Place de la Porte de Châtillon,Franprix Paris,117 boulevard Brune,198,N/A,N/A
Place de la Porte de Châtillon,Chez Kimly,86 rue Didot,509,N/A,N/A
Bineau - Louise Michel,L'Audacieux,51 rue Danton,351,N/A,N/A
Bineau - Louise Michel,Goupil le Bistro,4 rue Claude Debussy,432,N/A,N/A
Bineau - Louise Michel,Le Monte Cristo,42B boulevard Gouvion-Saint-Cyr,466,N/A,N/A
Bineau - Louise Michel,La Dolce Vita,49 rue Madeleine Michelis,502,N/A,N/A
Bineau - Louise Michel,Le Zinc du Marché,"4 bis, place Henri Barbusse",535,N/A,N/A
Flandrin - Henri Martin,Le Flandrin,4 place Tattegrain,21,N/A,N/A
Flandrin - Henri Martin,Stade Porte de la Muette,60 boulevard Lannes,239,N/A,N/A
Flandrin - Henri Martin,Restaurant Brach,Hôtel Brach,393,N/A,N/A
Flandrin - Henri Martin,Jardins de l'OECD,2 rue André Pascal,375,N/A,N/A
Flandrin - Henri Martin,Restaurant Bon,25 rue de la Pompe,477,N/A,N/A
Ancien Canal - Hélène Brion,Magasins généraux,1 rue de l'Ancien Canal,190,N/A,N/A
Ancien Canal - Hélène Brion,Dock B,1 place de la Pointe,245,N/A,N/A
Ancien Canal - Hélène Brion,Speed Rabbit Pizza,170 avenue Jean Lolive,88,N/A,N/A
Ancien Canal - Hélène Brion,La Guinguette des Grandes Serres by les Pantins,1 rue du Cheval Blanc,540,N/A,N/A
Ancien Canal - Hélène Brion,CHANEL Établissement Pantin,8 rue du Cheval Blanc,327,N/A,N/A
Louis Lumière.,Abyssinia,5 rue Martin Garat,386,N/A,N/A
Louis Lumière.,Novotel Cafe,1 avenue de la République,337,N/A,N/A
Louis Lumière.,Prothia,26 rue Serpollet,203,N/A,N/A
Louis Lumière.,L'Ogresse,4 rue des Prairies,470,N/A,N/A
Louis Lumière.,Peppe Pizzeria,2 place Saint-Blaise,584,N/A,N/A
Milton - Manuel,Caillebotte,"8 rue Hippolyte Lebas, Paris",132,N/A,N/A
Milton - Manuel,KBCafeshop,"53 avenue Trudaine, 9e",266,N/A,N/A
Milton - Manuel,Le Pantruche,"3 rue Victor Massé, 9e",277,N/A,N/A
Milton - Manuel,Mamiche,45 rue Condorcet,276,N/A,N/A
Milton - Manuel,Le Bon Georges,"45 rue Saint-Georges, 9e",296,N/A,N/A
Quai des Célestins - Henri IV,Maria Loca,31 boulevard Henri IV,241,N/A,N/A
Quai des Célestins - Henri IV,Sherry Butt,"20 rue Beautreillis, Paris",250,N/A,N/A
Quai des Célestins - Henri IV,Chez Mademoiselle,16 rue Charlemagne,384,N/A,N/A
Quai des Célestins - Henri IV,Au Bouquet Saint Paul,85 rue Saint Antoine,359,N/A,N/A
Quai des Célestins - Henri IV,Jardin de l'hôtel de sens,7 rue des Nonnains d'Hyères,402,N/A,N/A
Sommerard - Saint-Jacques,Le Bistro du Périgord,69-73 rue Saint-Jacques,47,N/A,N/A
Sommerard - Saint-Jacques,Album,"67 boulevard St-Germain, 5e",53,N/A,N/A
Sommerard - Saint-Jacques,La Filmothèque du Quartier Latin,9 rue Champollion,192,N/A,N/A
Sommerard - Saint-Jacques,Gibert Joseph,26-34 boulevard Saint Michel,185,N/A,N/A
Sommerard - Saint-Jacques,La Maison d'Isabelle,47 ter boulevard Saint-Germain,252,N/A,N/A
Orteaux - Mouraud,Restaurant Obrigado,8 avenue de la Porte de Montreuil,317,N/A,N/A
Orteaux - Mouraud,Au Bon Plaisir,104 rue des Pyrénées,280,N/A,N/A
Orteaux - Mouraud,Le Bricheton,50 rue de la Réunion,504,N/A,N/A
Orteaux - Mouraud,Yotaro Sushi,71 rue d'Avron,506,N/A,N/A
Orteaux - Mouraud,Marché Réunion,place de la Réunion,574,N/A,N/A
Préfecture de Créteil,Primark,avenue de la France Libre,214,N/A,N/A
Préfecture de Créteil,JB Photographies,11 rue du Général de Larminat,145,N/A,N/A
Préfecture de Créteil,Amorino,Créteil Soleil,463,N/A,N/A
Préfecture de Créteil,Fnac,avenue du Général de Gaulle,459,N/A,N/A
Préfecture de Créteil,Créteil Soleil,1-6627 Centre Commercial Régional Créteil-Soleil,448,N/A,N/A
Nationale - Vincent Auriol,La Tropicale,"180 boulevard Vincent Auriol, 13e",392,N/A,N/A
Nationale - Vincent Auriol,Chez Trassoudaine,3 Impasse Nationale,474,N/A,N/A
Nationale - Vincent Auriol,Di-Choulie,11 rue Primatice,492,N/A,N/A
Nationale - Vincent Auriol,Parc de Choisy,128 avenue de Choisy,536,N/A,N/A
Nationale - Vincent Auriol,Lao Douang Chan,161 avenue de Choisy,575,N/A,N/A
Buzenval - Vignoles,Marche Ou Crêpe,18 rue des Haies,137,N/A,N/A
Buzenval - Vignoles,Moki Bar,61 rue des Vignobles,137,N/A,N/A
Buzenval - Vignoles,Le Bricheton,50 rue de la Réunion,180,N/A,N/A
Buzenval - Vignoles,Le Bouillon Belge,6 rue Planchat,203,N/A,N/A
Buzenval - Vignoles,Marché Réunion,place de la Réunion,213,N/A,N/A
Botzaris - Crimée,Rosa Bonheur,2 allée de la Cascade Parc des Buttes-Chaumont,191,N/A,N/A
Botzaris - Crimée,L'Escargot Bar,50 rue de la Villette,288,N/A,N/A
Botzaris - Crimée,A l'Endroit,9 rue du Tunnel,275,N/A,N/A
Botzaris - Crimée,Place de Rhin et Danube,place de Rhin et Danube,234,N/A,N/A
Botzaris - Crimée,Brasserie le Danube,3 place Rhin et Danube,437,N/A,N/A
Place Charles Vallin,Champa Lao,60 Bis rue Dombasle,31,N/A,N/A
Place Charles Vallin,Médiathèque Marguerite Yourcenar,41 rue d' Alleray,172,N/A,N/A
Place Charles Vallin,Songsan,20 rue Marmontel,271,N/A,N/A
Place Charles Vallin,Librairie le Divan,203-226 rue de la Convention,327,N/A,N/A
Place Charles Vallin,Tatou Pizza,68 rue Brancion,352,N/A,N/A
Place Henri Dunant - Gare RER,Ristorante Monte Cassino Pizzeria,12 avenue Lombart,312,N/A,N/A
Place Henri Dunant - Gare RER,Franprix,44 rue Boucicaut,338,N/A,N/A
Place Henri Dunant - Gare RER,Audioprothésiste Krys Audition,6 place de l'Eglise,290,N/A,N/A
Place Henri Dunant - Gare RER,Tokam,18 rue Paul Léautaud,477,N/A,N/A
Place Henri Dunant - Gare RER,Daniel Moquet signe vos allées,14 rue Beautemps Beaupré,478,N/A,N/A
Île de la Jatte,Le Nouveau Paris,204 boulevard Bineau,66,N/A,N/A
Île de la Jatte,La Guinguette de Neuilly,12 Boulevard Georges Seurat,114,N/A,N/A
Île de la Jatte,Franprix,195 boulevard Bineau,35,N/A,N/A
Île de la Jatte,NATURALIA Neuilly ile de la jatte,195 boulevard Bineau,10,N/A,N/A
Île de la Jatte,Les Pieds dans l'Eau,39 boulevard du Parc,255,N/A,N/A
Morice - Général Leclerc,Pizza Giuliano,9 rue Madame de Sanzillon,148,N/A,N/A
Morice - Général Leclerc,Parc Roger Salengro,78 boulevard du Général Leclerc,273,N/A,N/A
Morice - Général Leclerc,Polette,115 boulevard Victor Hugo,322,N/A,N/A
Morice - Général Leclerc,Churrasqueira Do Povo,7 rue Curton,355,N/A,N/A
Morice - Général Leclerc,Vendredi,43 rue Villeneuve,411,N/A,N/A
Karl Marx,Dispart,86 avenue de Stalingrad,74,N/A,N/A
Karl Marx,Reyscue,10 allée des Feuillantines,96,N/A,N/A
Karl Marx,Mea,51 avenue de Stalingrad,226,N/A,N/A
Karl Marx,Stade Nautique Youri Gagarine,67 rue Youri Gagarine,403,N/A,N/A
Karl Marx,Carrefour,67-81 avenue de Stalingrad,297,N/A,N/A
Gabriel Péri - Danielle Casanova,Recyclage Francilien de Ma,48 avenue du Groupe Manouchian,168,N/A,N/A
Gabriel Péri - Danielle Casanova,objectifcode CENTRE d'EXAMEN du CODE de la ROUTE,2 place du Dix Neuf Mars 1962,264,N/A,N/A
Gabriel Péri - Danielle Casanova,Association Pour Developpement des Foyer,12 avenue du Groupe Manouchian,356,N/A,N/A
Gabriel Péri - Danielle Casanova,Foyer Vitry,3 avenue du Groupe Manouchian,373,N/A,N/A
Gabriel Péri - Danielle Casanova,Le Royal Vitry,159 avenue Paul Vaillant Couturier,576,N/A,N/A
Place Du Général De Gaulle,Power Clean,17 place du Général de Gaulle,39,N/A,N/A
Place Du Général De Gaulle,Centrale Déménageurs,17 place du Général de Gaulle,89,N/A,N/A
Place Du Général De Gaulle,CMJE de Montreuil,4 place du Général de Gaulle,110,N/A,N/A
Place Du Général De Gaulle,Théâtre de la Noue,12 place Berthie Albrecht,278,N/A,N/A
Place Du Général De Gaulle,Villa 9 Trois,71 rue Hoche,619,N/A,N/A
Mazagran - Bonne Nouvelle,Le Distrait,26 rue de la Lune,134,N/A,N/A
Mazagran - Bonne Nouvelle,Evénements au Comedy Club,42 boulevard Bonne Nouvelle,211,N/A,N/A
Mazagran - Bonne Nouvelle,Boulangerie Julhès,56 rue du Faubourg Saint-Denis,349,N/A,N/A
Mazagran - Bonne Nouvelle,Eels,27 rue d ́Hauteville,363,N/A,N/A
Mazagran - Bonne Nouvelle,Urfa Dürüm,58 rue du Faubourg Saint-Denis,343,N/A,N/A
Porte de Vincennes,Marché de la Tourelle,avenue Galliéni,99,N/A,N/A
Porte de Vincennes,Ambassade de Pékin,6 avenue Joffre,188,N/A,N/A
Porte de Vincennes,Kyoto Sushi,11 rue Plisson,236,N/A,N/A
Porte de Vincennes,Shinkyo,170 avenue de Paris,300,N/A,N/A
Porte de Vincennes,La Banquette,2 rue de la Prévoyance,361,N/A,N/A
Square Louise Michel,Maison Georges Larnicol,7 rue de Steinkerque,96,N/A,N/A
Square Louise Michel,La Cure Gourmande,8 rue de Steinkerque,137,N/A,N/A
Square Louise Michel,Elysée Montmartre,72 boulevard de Rochechouart 18th,192,N/A,N/A
Square Louise Michel,Le Trianon,"80 boulevard de Rochechouart, 18e",216,N/A,N/A
Square Louise Michel,Sacré-Cœur Basilica (Basilique du Sacré-Cœur),35 rue du Chevalier de la Barre,227,N/A,N/A
Jean-Pierre Timbaud - Vaucouleurs,Bouche,85 rue Jean-Pierre Timbaud,52,N/A,N/A
Jean-Pierre Timbaud - Vaucouleurs,The Hood,80 rue Jean Pierre Timbaud le Citizen Hotel,125,N/A,N/A
Jean-Pierre Timbaud - Vaucouleurs,L'Orillon Bar,35 rue de l'Orillon,284,N/A,N/A
Jean-Pierre Timbaud - Vaucouleurs,Le 11ème Domaine,14 rue des Trois Bornes,329,N/A,N/A
Jean-Pierre Timbaud - Vaucouleurs,Boulangerie Chambelland,"14 rue Ternaux, 11e",504,N/A,N/A
Guynemer - Séverine,Big Fernand,30 rue Ernest Renan,319,N/A,N/A
Guynemer - Séverine,Aquaboulevard,4 /6 rue Louis Armand,213,N/A,N/A
Guynemer - Séverine,Sushiken,12 rue Ernest Renan,347,N/A,N/A
Guynemer - Séverine,Manufacture,20 Esplanade de la Manufacture,368,N/A,N/A
Guynemer - Séverine,Okayama,16 rue Ernest Renan,337,N/A,N/A
Eugène Oudiné - Dessous Des Berges,Lao Viet,24 boulevard Masséna,301,N/A,N/A
Eugène Oudiné - Dessous Des Berges,Lao Chaleune,29 rue du Château des Rentiers,383,N/A,N/A
Eugène Oudiné - Dessous Des Berges,MK2 Bibliothèque,"128-162 avenue de France, 13e",716,N/A,N/A
Eugène Oudiné - Dessous Des Berges,La Felicità,55 boulevard Vincent Auriol,756,N/A,N/A
Eugène Oudiné - Dessous Des Berges,Chinatown Olympiades,44 avenue d'Ivry,723,N/A,N/A
Place Denfert-Rochereau,Chez Madeleine,39 rue de Paris,367,N/A,N/A
Place Denfert-Rochereau,Stade Roland Garros,"2 bis, avenue Gordon Bennett",434,N/A,N/A
Place Denfert-Rochereau,Court Suzanne Lenglen,Stade Roland Garros,453,N/A,N/A
Place Denfert-Rochereau,Boutique du Parc des Princes,24 rue du Commandant Guibaud,445,N/A,N/A
Place Denfert-Rochereau,Court Philippe Chatrier,Stade Roland Garros,495,N/A,N/A
Malakoff - Place de la Porte Maillot,Auberge Dab,161 avenue de Malakoff,20,N/A,N/A
Malakoff - Place de la Porte Maillot,Le Congrès Maillot,80 avenue de la Grande Armée,115,N/A,N/A
Malakoff - Place de la Porte Maillot,Chez Georges,"273 boulevard Pereire, Paris",160,N/A,N/A
Malakoff - Place de la Porte Maillot,Pharmacie de la Grande Armée,68 avenue de la Grande Armée,160,N/A,N/A
Malakoff - Place de la Porte Maillot,Starbucks,2 place de la Porte Maillot,208,N/A,N/A
Eugène Varlin - Place de la Paix,Show Devant,4 esplanade Pierre Yves Cosnier,33,N/A,N/A
Eugène Varlin - Place de la Paix,Caquelin Dominique,24 rue Jean Jaurès,316,N/A,N/A
Eugène Varlin - Place de la Paix,Monoprix,34 rue Jean Jaurès,255,N/A,N/A
Eugène Varlin - Place de la Paix,Gusti d'Italia,5 rue Georges le Bigot,197,N/A,N/A
Eugène Varlin - Place de la Paix,Fan Corner,76 rue René Hamon,227,N/A,N/A
Saint-Denis - Rivoli,Bières Cultes,14 rue des Halles,113,N/A,N/A
Saint-Denis - Rivoli,Rivoli,28 rue de Rivoli,150,N/A,N/A
Saint-Denis - Rivoli,Saint-Jacques Tower (Tour Saint-Jacques),88 rue de Rivoli,143,N/A,N/A
Saint-Denis - Rivoli,Théâtre de la Ville,"2 place du Chatelet, 4th",202,N/A,N/A
Saint-Denis - Rivoli,Stravinsky Fountain (Fontaine Stravinsky),place Igor Stravinsky,288,N/A,N/A
Jussieu - Guy de la Brosse,Le Foodist,"59 rue du Cardinal Lemoine, 5e",318,N/A,N/A
Jussieu - Guy de la Brosse,Jardin des Plantes,place Valhubert,364,N/A,N/A
Jussieu - Guy de la Brosse,Strada Café,"24 rue Monge, 5e",354,N/A,N/A
Jussieu - Guy de la Brosse,Galerie de Paléontologie et d'Anatomie Comparée (Galerie de Paléontologie et d'Anatomie comparée),"2 rue Buffon, 5e",624,N/A,N/A
Jussieu - Guy de la Brosse,Société Civile Immobilière Paris Quai d'Orléans,18 quai d'Orléans,666,N/A,N/A
Jean-François Lépine - Stephenson,Gibert Joseph,15-17 boulevard Barbès,558,N/A,N/A
Jean-François Lépine - Stephenson,Le Louxor,"170 boulevard de Magenta, 10e",586,N/A,N/A
Jean-François Lépine - Stephenson,Marché de l'Olive,10 rue de l'Olive,635,N/A,N/A
Jean-François Lépine - Stephenson,Sacrée Fleur,50 rue de Clignancourt,678,N/A,N/A
Jean-François Lépine - Stephenson,À la Bière Comme À la Bière,20 rue Custine,725,N/A,N/A
Porte Maillot - Perreire,Chez Georges,"273 boulevard Pereire, Paris",52,N/A,N/A
Porte Maillot - Perreire,Le Congrès Maillot,80 avenue de la Grande Armée,61,N/A,N/A
Porte Maillot - Perreire,Starbucks,2 place de la Porte Maillot,92,N/A,N/A
Porte Maillot - Perreire,Auberge Dab,161 avenue de Malakoff,164,N/A,N/A
Porte Maillot - Perreire,Pharmacie de la Grande Armée,68 avenue de la Grande Armée,128,N/A,N/A
Porte d'Ivry,Coupi Bar,48 avenue de la Porte d'Ivry,101,N/A,N/A
