station_name,venue_name,venue_address,venue_distance,venue_latitude,venue_longitude
Bons Raisins - Voltaire,Marché des Godardes,place des Godardes,368,N/A,N/A
Bons Raisins - Voltaire,Croix Rouge Francaise Relais Assistantes Maternelles,15 rue des Folies,240,N/A,N/A
Saint-Augustin,Noir,120 boulevard Haussmann,164,N/A,N/A
Saint-Augustin,Le Petit Ballon,43 rue du Rocher,173,N/A,N/A
Saint-Augustin,Théâtre Tristan Bernard,64 rue du Rocher,291,N/A,N/A
Saint-Augustin,Mandoobar,7 rue d'Edimbourg,377,N/A,N/A
Saint-Augustin,Eric Kayser,Ccal le Pavillon,400,N/A,N/A
Lecourbe - Jean Maridor,Bistro Mon Rêve,68 avenue Félix Faure,287,N/A,N/A
Lecourbe - Jean Maridor,Le Beurre Noisette,"68 rue Vasco de Gama, 15e",330,N/A,N/A
Lecourbe - Jean Maridor,Afaria,15 rue Desnouettes,356,N/A,N/A
Lecourbe - Jean Maridor,La Table Libanaise,25 rue Oscar Roty,435,N/A,N/A
Lecourbe - Jean Maridor,L'Os à moelle,"3 rue Vasco-de-Gama, Paris",437,N/A,N/A
Colonel Monteil - Brune,Chez Kimly,86 rue Didot,553,N/A,N/A
Colonel Monteil - Brune,Bistrotters,9 rue Decrès,817,N/A,N/A
Colonel Monteil - Brune,La Régalade,49 avenue Jean Moulin,819,N/A,N/A
Colonel Monteil - Brune,Parc Georges Brassens,"2 place Jacques-Marette, rue de Dantzig",833,N/A,N/A
Colonel Monteil - Brune,Le Caroubier,82 boulevard Lefebvre,814,N/A,N/A
République - Auguste Perret,Parc Départemental des Hautes-Bruyères,110 avenue de la République,235,N/A,N/A
République - Auguste Perret,Apcis,6 villa Bruyères,192,N/A,N/A
République - Auguste Perret,Mas les Hautes Bruyères,65 rue de Verdun,355,N/A,N/A
République - Auguste Perret,Stade Nautique Youri Gagarine,67 rue Youri Gagarine,612,N/A,N/A
République - Auguste Perret,Pro Decor,16 Bis Impasse Robert Duch\u00eane,751,N/A,N/A
Marcel Pourtout - Édouard Manet ,Piscine Municipale des Closeaux,boulevard Marcel Pourtout,204,N/A,N/A
Marcel Pourtout - Édouard Manet ,Agfa Gevaert S.A.,274-276 274 avenue Napoleon Bonaparte,133,N/A,N/A
Marcel Pourtout - Édouard Manet ,Auchan Supermarché Rueil-Malmaison,262 avenue Napoléon Bonaparte,299,N/A,N/A
Marcel Pourtout - Édouard Manet ,Créa Cucine,266 Bis avenue Napoléon Bonaparte,176,N/A,N/A
Marcel Pourtout - Édouard Manet ,Château de Malmaison,avenue du Château de Malmaison,539,N/A,N/A
Port Royal - Hôpital Cochin,Académie de la Bière,"88 Bis, boulevard de Port Royal",136,N/A,N/A
Port Royal - Hôpital Cochin,Cantinella,30 rue du Faubourg Saint-Jacques,246,N/A,N/A
Port Royal - Hôpital Cochin,La Closerie des Lilas,"171 boulevard du Montparnasse, 6e",380,N/A,N/A
Port Royal - Hôpital Cochin,Fontaine de l'Observatoire,avenue de l'Observatoire 4,395,N/A,N/A
Port Royal - Hôpital Cochin,Jardin des Grands Explorateurs Marco Polo et Cavelier-de-la-Salle,avenue de l'Observatoire,445,N/A,N/A
Adolphe Pinard - Victor Hugo,Chez Kimly,86 rue Didot,817,N/A,N/A
Adolphe Pinard - Victor Hugo,Spiga d'Oro 2,"85 bis, rue Jean Bleuzen",790,N/A,N/A
Adolphe Pinard - Victor Hugo,Le Rouge Gorge,1 rue Camille Pelletan place Jean Jaurès,854,N/A,N/A
Adolphe Pinard - Victor Hugo,La Régalade,49 avenue Jean Moulin,923,N/A,N/A
Adolphe Pinard - Victor Hugo,Le Caroubier,82 boulevard Lefebvre,889,N/A,N/A
Claude Decaen - Cannebière,Zic Zinc,95 rue Claude Decaen,154,N/A,N/A
Claude Decaen - Cannebière,Atout Livre,"203 bis, avenue Daumesnil",165,N/A,N/A
Claude Decaen - Cannebière,Boulangerie Daumesnil,219 avenue Daumesnil,171,N/A,N/A
Claude Decaen - Cannebière,Le Mai Vietnam,1 rue Edouard Robert,258,N/A,N/A
Claude Decaen - Cannebière,Bar & Beer,243 rue de Charenton,416,N/A,N/A
Pierre et Marie Curie - Maurice Thorez,Okahashi,75 avenue Maurice Thorez,249,N/A,N/A
Pierre et Marie Curie - Maurice Thorez,Bistrot le Nouveau Brooklyn,39 rue Gabriel Péri,504,N/A,N/A
Pierre et Marie Curie - Maurice Thorez,Franprix,rue Louis Bertrand 1,374,N/A,N/A
Pierre et Marie Curie - Maurice Thorez,Franprix,25-27 rue Pierre Brossolette,368,N/A,N/A
Pierre et Marie Curie - Maurice Thorez,Pasqualina,84 rue Jean le Galleu,588,N/A,N/A
Mornay - Sully,Maria Loca,31 boulevard Henri IV,289,N/A,N/A
Mornay - Sully,Écluse de l'Arsenal,Port de l'Arsenal,293,N/A,N/A
